Dataset,Run,RMSE,MAE,R²
CMAPSS_FD004,0,17.4369,13.6134,0.8336
CMAPSS_FD004,1,17.4467,13.2481,0.8334
CMAPSS_FD004,2,17.7012,13.3167,0.8286
CMAPSS_FD004,ensemble,17.0364,13.1021,0.8412
