epoch,lr,train_loss,val_loss,val_rmse,pred_loss,koop_loss,spec_loss,multi_loss
0,0.0002,0.1729211615299394,-0.13413508666886223,0.0059526447496204005,0.004461307658067792,0.17640822076731744,0.0,0.28740370031824486
1,0.0004,-0.2541019067961295,-0.3728432204988268,0.005599635990689855,0.0007741206752120697,0.002421653732176119,0.0,0.0014028602946746615
2,0.0006000000000000001,-0.5401660313292378,-0.7088029417726729,0.006788396410507824,0.0006378011009884158,0.0013792380732640687,0.0,0.0005951401813354223
3,0.0008,-0.9278099612027657,-1.1478682928615147,0.006396011878187502,0.0007337347609388801,0.0007340271402207785,0.0,0.00033903077346825823
4,0.001,-1.419890233114654,-1.6928320778740777,0.005293521497015674,0.0006722680225196172,0.00033695431376764347,0.0,0.00019429609742741485
5,0.001,-1.9617620589686375,-2.2287284798092313,0.006043334336614664,0.0005817862641045443,0.0009137130101033323,0.0,0.0002988740994084003
6,0.0009994342359219126,-2.502505199581969,-2.772411110666063,0.00582266681356039,0.0006019613268284299,0.00018318063473193294,0.0,0.0001081727336067739
7,0.0009977382253252558,-3.0402807561623284,-3.3095355722639295,0.005542635331422241,0.0005715934632910828,0.00013860060666434737,0.0,8.732480949090262e-05
8,0.0009949158102195259,-3.5757866473425004,-3.8400904840893215,0.005645979411628144,0.0005609806045284625,0.00012472708382955505,0.0,8.726661575519374e-05
9,0.000990973384282722,-4.108824605701351,-4.375072924296061,0.005462353503588729,0.000541082678750126,0.00012252817080171612,0.0,8.589552739836962e-05
10,0.0009859198783776092,-4.638835991130156,-4.9041471163431805,0.0052004153026904976,0.0005361689615789905,0.00022734610615707398,0.0,9.81392083102684e-05
11,0.0009797667403204414,-5.165798668100052,-5.4282624774509,0.005231393010221921,0.00048812133977802716,8.748101625044984e-05,0.0,5.689678545720864e-05
12,0.0009725279089479769,-5.6887927402635245,-5.948829423056709,0.005140177811133184,0.00047157348255256413,6.675178974291965e-05,0.0,4.3528663455294244e-05
13,0.0009642197825415284,-5.995837848727443,-5.999348651038276,0.005697830209596896,0.0004692157354311501,6.428069077335632e-05,0.0,3.926432108113129e-05
14,0.0009548611816795821,-5.999434648775587,-5.999441146850586,0.005645535893106235,0.00045755950508036595,6.552816824803288e-05,0.0,4.225050886954032e-05
15,0.0009444733066031344,-5.9994512512570335,-5.995997508366902,0.00636852012673092,0.00045047759827479447,5.985783723737987e-05,0.0,3.842917071307777e-05
16,0.0009330796891903273,-5.999448542501412,-5.999546204672919,0.005142785614749984,0.0004498704991379038,6.14691372331935e-05,0.0,4.009998327560794e-05
17,0.0009207061396491751,-5.9994670897304845,-5.998310030831231,0.00554870385889028,0.00045126451824071715,4.9115798585863615e-05,0.0,3.2519679439310517e-05
18,0.0009073806880491428,-5.999492105649633,-5.999042579862807,0.00543679574876374,0.00043786228649091255,4.351233366135141e-05,0.0,2.6504265859875377e-05
19,0.0008931335208240225,-5.999481500363817,-5.999329211976793,0.005197981992338327,0.0004390053771774047,4.938649689996842e-05,0.0,3.010324649969706e-05
20,0.0008779969123899521,-5.99950928647979,-5.999167198605008,0.005571078444323654,0.00042393322437623367,4.188376676850641e-05,0.0,2.489649500666954e-05
21,0.0008620051520334826,-5.999500163796903,-5.998058737648858,0.005196865022214642,0.00042813411610219263,4.581565417411133e-05,0.0,2.588317009630722e-05
22,0.0008451944662353151,-5.9995010974360445,-5.9994566440582275,0.005222534722820402,0.0004251128521908325,4.441851055192832e-05,0.0,2.938336070192414e-05
23,0.0008276029366056701,-5.999523348501082,-5.999278773201836,0.005139902388974146,0.000415946012842195,3.742339158787279e-05,0.0,2.3286215691921887e-05
