epoch,lr,train_loss,val_loss,val_rmse,pred_loss,koop_loss,spec_loss,multi_loss
0,0.00016,0.3701202547014584,-0.043361057544296436,0.029628481715917587,0.005767498192729317,0.2971130025139602,0.0,0.5077605806119431
1,0.00032,-0.15453446742301713,-0.2463984511115334,0.023694736883044243,0.0005570439104643148,0.015082969903207732,0.0,0.011424920829077367
2,0.00048000000000000007,-0.3551733436809707,-0.47168572707609696,0.02545084059238434,0.00031420169532307625,0.0068303951105716625,0.0,0.0021636992653248153
3,0.00064,-0.6168442611595453,-0.7636430296030912,0.022973332554101944,0.0003207942412164028,0.0013832684653523606,0.0,0.0006882403999344931
4,0.0008,-0.9424639022844727,-1.1224004355343906,0.03550238907337189,0.00030188571727697306,0.0006377113925900379,0.0,0.00041075542239629996
5,0.0008,-1.2999218136484172,-1.4781435533003373,0.03487430885434151,0.0002972626956560636,0.0003078770581691865,0.0,0.00017363144306644092
6,0.0007992116780070946,-1.654102418829219,-1.8314355980266224,0.02319788560271263,0.00030082978350045973,0.00023387231125575727,0.0,0.00011793108958636157
7,0.000796849823175134,-2.0052191980423464,-2.174231494556774,0.02349112555384636,0.0002714439896353808,0.0003582319280082759,0.0,0.0002560783355154284
8,0.0007929237566661112,-2.3388875596534273,-2.5252380067651923,0.026241082698106766,0.0003071172073835395,0.0053746651268369965,0.0,0.002774337686980272
9,0.0007874489728708882,-2.684888162920552,-2.8180955626747823,0.025285933166742325,0.00031050959318202454,0.002975455874766004,0.0,0.0028116724818402017
10,0.0007804470782599139,-3.0342087262237127,-3.2075158596038817,0.023298967629671097,0.00028730237420352203,0.0005861394512917727,0.0,0.0004401903580791051
11,0.0007719457061123564,-3.374988836077501,-3.5435518568212334,0.03799372911453247,0.0002799071648511134,0.00025344165134584865,0.0,7.92254668591793e-05
12,0.0007619784074601748,-3.7099789793040894,-3.868917313489047,0.07415701448917389,0.0002628270824882953,0.00018332133692349113,0.0,5.7845720179027056e-05
13,0.0007505845186775235,-4.039833438011907,-4.203236129067161,0.031244652345776558,0.0002534510836022378,0.00012232296271807587,0.0,4.6921825503274875e-05
14,0.0007378090062380551,-4.364051871585406,-4.525651662999933,0.022265473380684853,0.0002451246075357916,7.832609158943296e-05,0.0,3.170412542476278e-05
15,0.0007237022892527915,-4.681984242206345,-4.8403226332231,0.022031724452972412,0.00023796760317792233,6.291614455779293e-05,0.0,2.8116579498751797e-05
16,0.0007083200404889279,-4.992991897917014,-5.146110343933105,0.032847847789525986,0.0002250450522175342,9.192635285376232e-05,0.0,3.036749859444163e-05
17,0.0006917229666548539,-5.297308959169872,-5.4483621077104045,0.021713552996516228,0.00023828276037667718,3.7153520587360175e-05,0.0,1.9864967113961883e-05
18,0.0006739765688185111,-5.5936890878985,-5.740612827647816,0.023615775629878044,0.00022060337622890308,5.11414936843193e-05,0.0,2.0126910875815617e-05
19,0.0006551508839046016,-5.88144800520163,-6.022926018454812,0.026592962443828583,0.00021284596977351998,9.180362633444758e-05,0.0,2.749400441078142e-05
20,0.0006353202082908431,-6.161792801272485,-6.299770762703636,0.023218395188450813,0.00022070808959792236,1.8773759645818947e-05,0.0,9.664671022804e-06
21,0.0006145628045941091,-6.432840213248257,-6.564859372919256,0.020346680656075478,0.0002165971602681243,1.6359935015136074e-05,0.0,8.678117796046657e-06
22,0.0005929605928036353,-6.694461609361358,-6.823236621509899,0.0214435625821352,0.00021795576422481717,1.774281893459429e-05,0.0,7.690339750259704e-06
23,0.0005705988269802466,-6.946661755785964,-7.069870471954346,0.022358497604727745,0.00021448901659714632,1.044995246223651e-05,0.0,6.113804915430634e-06
24,0.0005475657587975289,-7.188830867890389,-7.307853854786266,0.020288826897740364,0.000213726387334524,8.267460583537105e-06,0.0,4.869730611997193e-06
25,0.0005239522892527916,-7.420846646831881,-7.534577387029475,0.020658275112509727,0.0002097533465216091,6.860303614730625e-06,0.0,4.360896090043157e-06
26,0.0004998516099223594,-7.642345867948048,-7.749021478132768,0.02460942603647709,0.00021100836022207642,6.265815826095542e-06,0.0,3.7882879305764236e-06
27,0.0004753588351769971,-7.853333308400097,-7.9546743913130324,0.02330542355775833,0.0002080063600616727,6.242637606141853e-06,0.0,3.3742860387274425e-06
28,0.0004505706268089397,-8.050130088208459,-8.135322362726384,0.020251326262950897,0.00020984616024636403,7.251899968491566e-05,0.0,1.8449645934465416e-05
29,0.0004255848125519608,-8.235895965505854,-8.32864015752619,0.02048388496041298,0.0002101836146004627,1.5680780118219124e-05,0.0,4.906494248220554e-06
