epoch,train_loss,val_loss,train_rmse,val_rmse,lr,train_rul_mse,train_spectral,train_multi_step
0,3690.443789274796,2832.753173828125,78.20446014404297,63.58380889892578,0.001,5202.398242895154,0.0,1.0463645898777505
1,893.5314561042233,840.9212036132812,61.0191650390625,32.69343566894531,0.000999938933078422,1019.6414958566859,0.0,0.8398196567659792
2,594.0395189368206,622.5492553710938,58.89642333984375,26.590496063232422,0.0009997557473810372,490.6675844054291,0.0,0.7004903295765752
3,527.5499780627265,446.34423828125,58.95465087890625,21.332582473754883,0.0009994504881061753,441.54216733186144,0.0,0.5907432696093684
4,470.9367618284364,391.19073486328125,58.98173522949219,19.913368225097656,0.0009990232305719944,413.1621518342391,2.7739083907816337e-05,0.3474146326382955
5,436.2774030160213,249.86825561523438,58.475433349609375,14.869900703430176,0.0009984740801978985,393.8498793892239,4.4977905941239086e-05,0.3541439732779627
6,395.66744818203694,282.6432800292969,58.82609939575195,15.867796897888184,0.0009978031724785245,373.5835805699445,1.6826746591968984e-05,0.2893393558004628
7,375.16666622438294,234.70513916015625,58.867393493652344,14.607110023498535,0.000997010672950314,369.19382421521175,7.471249617320491e-05,0.307043623233187
8,355.26859316618544,253.18423461914062,58.64999771118164,14.983713150024414,0.0009960967771506667,363.25566344330275,2.667651735787397e-05,0.31924257416656054
9,321.8068431909534,257.1544189453125,58.61044692993164,16.275571823120117,0.000995061710569696,342.0788759977921,5.9128261887650936e-05,0.26090689888898877
10,307.00895204405856,213.17880249023438,58.51894760131836,14.623063087463379,0.0009939057285945933,348.15838755732,3.9280130961010784e-05,0.23949171451554782
11,278.77670442885244,181.82688903808594,58.860313415527344,14.391838073730469,0.000992629116446613,323.74380183565444,0.00010605302285087063,0.21832019500974295
12,254.0254728897758,210.20216369628906,58.68023681640625,16.131101608276367,0.000991232189110701,316.3533442400504,5.2221198110143064e-05,0.21023894371329874
13,241.7264994745669,175.01773071289062,58.26710510253906,14.461137771606445,0.0009897152912577741,315.826648214589,2.2817051945416825e-05,0.205043600305267
14,227.6751490053923,178.4992218017578,58.754180908203125,14.66287899017334,0.00098807879715968,316.21670797596806,9.990774942888743e-05,0.20170357542625372
15,215.53577721637228,204.5242919921875,58.63397979736328,15.86565113067627,0.00098632311059685,314.98586416935575,5.6181398585017405e-05,0.19549656195053156
16,197.7414946625198,168.84884643554688,58.68605422973633,14.742948532104492,0.0009844486647586723,306.3913255774456,4.739457579801084e-05,0.19101584087247434
17,183.20127249455106,149.12783813476562,58.26363754272461,14.720881462097168,0.00098245592213661,295.7566364675328,6.422020364089289e-05,0.19410392447658206
18,174.3276928887851,154.50375366210938,58.79947280883789,14.885233879089355,0.0009803453744100868,298.5051092617754,2.0523525589941283e-05,0.1572261770134387
19,160.60595194498697,135.67941284179688,58.785377502441406,14.750877380371094,0.0009781175423251734,290.3432115195454,4.2232259863053315e-05,0.15073010865328967
20,150.17399928880775,129.19078063964844,58.6187744140625,14.531656265258789,0.0009757729755661011,287.0679089090099,4.9883970864752683e-05,0.1340933774692425
21,139.3557407545007,124.89303588867188,58.52643966674805,14.914080619812012,0.0009733122526196349,280.9037409243376,2.010498282701367e-05,0.12336863048266673
22,132.33384173849353,104.13084411621094,58.81312561035156,14.180359840393066,0.0009707359806323416,279.6228272811226,2.9834850065219424e-05,0.11721909078566925
23,121.89568273571955,109.55839538574219,58.50591278076172,14.544692039489746,0.0009680447952607845,272.9258787735649,2.6411766783560093e-05,0.1182483035153237
24,112.48935644177423,92.01339721679688,58.483211517333984,13.986358642578125,0.0009652393605146844,267.47843490821725,2.6960918732981185e-05,0.11641761682171753
25,108.69028483957484,90.30001831054688,58.71536636352539,14.511160850524902,0.000962320368593087,271.49558998881906,7.66210664380239e-05,0.10352671340755794
26,99.95745982294497,87.05146789550781,58.950904846191406,14.32652759552002,0.0009592885397135706,265.55794226604957,3.408163756690569e-05,0.09856087919594585
27,92.60783131917317,85.02883911132812,58.73532485961914,14.32993221282959,0.0009561446219345453,261.14819800335425,5.964238354937729e-05,0.09561899088431096
28,87.65184441165647,82.00453186035156,58.577518463134766,15.185846328735352,0.0009528893909706797,258.53823012199956,9.864136840699489e-05,0.11309802111076273
29,82.49367921248727,68.77442932128906,58.923736572265625,13.967879295349121,0.0009495236500015047,259.8320538064708,6.972028208081056e-05,0.0971829906321954
30,76.37068795466769,66.69351196289062,58.762908935546875,14.527596473693848,0.0009460482294732421,252.36405878481656,3.5476677100613564e-05,0.0896398757678875
31,70.04665004343227,68.83023071289062,59.06077575683594,15.152536392211914,0.0009424639868939033,249.6697407598081,3.8734851159255e-05,0.07998184870550598
32,67.99083571503128,60.311073303222656,58.79112243652344,14.41215705871582,0.0009387718066217125,249.7146093396173,4.223001658904554e-05,0.07189021529494852
33,64.43027286253114,57.94191360473633,58.7250862121582,14.911903381347656,0.0009349725996469047,251.4013970416525,7.642219297720055e-05,0.07418787285037663
34,57.29020010906717,53.690162658691406,58.919830322265625,14.302301406860352,0.0009310673033669522,237.9704200634058,5.420053545584012e-05,0.07105891233769016
35,57.160061711850375,56.00341033935547,58.76071548461914,14.744954109191895,0.0009270568813552756,245.0201942333277,4.903081731359747e-05,0.06414570421844289
36,52.41597720160001,62.38062286376953,58.54685592651367,15.448028564453125,0.0009229423231234975,239.98240772192028,1.97456991252675e-05,0.06995466184140979
37,48.89868921473406,48.98369598388672,58.8592643737793,14.584431648254395,0.0009187246438772938,235.9368372378142,4.536891898872543e-05,0.05978902348357698
38,45.84077348570893,38.00979995727539,58.84721374511719,12.991778373718262,0.0009144048842659081,235.73926997530288,3.316690664046795e-05,0.06173027096235234
39,44.46422825688901,46.14076232910156,58.543914794921875,14.650860786437988,0.0009099841101253866,239.1590368298517,9.524424842621998e-05,0.06818670315155084
40,40.98636599554532,48.8397102355957,58.64704132080078,15.309975624084473,0.000905463412215599,228.79189997134,6.31870189329148e-05,0.050151953284723175
41,39.05694629835046,34.88677978515625,59.061031341552734,13.85229206085205,0.0009008439059511099,230.6809875930565,5.564171694740965e-05,0.045664477985406265
42,36.38704952295276,38.14311218261719,58.465938568115234,14.323465347290039,0.0008961267311259666,229.60963661083278,2.865778632262252e-05,0.04208824486620184
43,32.66223050545955,38.977569580078125,58.808837890625,14.733097076416016,0.0008913130516324732,222.58658035941747,8.626478111544702e-05,0.041204319969899414
44,33.06578517305678,29.98076629638672,58.46744918823242,14.220849990844727,0.0008864040551740157,231.04167971403703,7.037701189069364e-05,0.03873419518704
45,29.78915148196013,30.286922454833984,58.83909225463867,14.44532299041748,0.0008814009529720154,222.76587754401606,2.178722551341487e-05,0.034955307436378105
46,28.02750703562861,27.117374420166016,59.096771240234375,13.910807609558105,0.0008763049794670775,216.20574044490206,4.3887255160214316e-05,0.03141266663653263
47,26.553625466167063,24.557893753051758,59.12580108642578,13.599087715148926,0.0008711173920144117,221.7068381931471,6.211788555008175e-05,0.030492345465050228
48,25.271075649537902,22.521453857421875,59.03702163696289,13.87714958190918,0.0008658394705735987,218.93848120647928,2.575176588433239e-05,0.027034455100479332
49,23.54806579368702,25.19129180908203,58.68533706665039,15.49226188659668,0.0008604725173927785,215.52646404763928,4.432482424585572e-05,0.023150588291278786
50,21.7323887590049,22.01446533203125,59.32647705078125,14.242057800292969,0.000855017856687341,209.20414291602978,3.3882963607148554e-05,0.023048605553913807
51,20.65183327163475,21.534605026245117,58.70442581176758,14.06086254119873,0.0008494768343131955,211.70589192708334,3.6121203391219396e-05,0.02089785082616668
52,19.231756666432258,19.7142333984375,59.13093948364258,14.537676811218262,0.0008438508174347009,209.83240763346353,2.6125411646907413e-05,0.018147188495250717
53,18.34405155458312,22.241355895996094,59.05767059326172,16.148473739624023,0.0008381411941873378,211.04109988005266,4.040367187979862e-05,0.016235497375221355
54,18.001014571258988,17.63250732421875,58.71040344238281,14.248430252075195,0.0008323493733352077,216.19785231438237,5.143263864422467e-05,0.015290916532925938
55,15.602027063784393,16.525020599365234,59.118873596191406,14.039530754089355,0.000826476783923441,203.27099808402684,3.661561681613189e-05,0.013561034075699854
56,14.961673266645791,16.04473114013672,58.768611907958984,13.737687110900879,0.0008205248749256015,203.04728742958844,4.6031699540042965e-05,0.012150300653192444
57,14.176346253657687,16.439464569091797,59.060302734375,14.26476764678955,0.0008144951148861742,206.90555450881737,3.136456601741481e-05,0.011276660649024921
58,13.266224349754443,15.370267868041992,58.7035026550293,14.116172790527344,0.0008083889915582234,203.32215571749038,2.3842909998556546e-05,0.00973403398487447
59,12.421801276828932,13.36744213104248,58.710784912109375,14.024158477783203,0.0008022080115363127,202.2569064817567,2.5731389010398626e-05,0.008989765484263931
60,12.21440485249395,16.964458465576172,58.76301574707031,15.026817321777344,0.0007959536998847743,206.26791403950125,1.5387680357418912e-05,0.007654591375772936
61,11.530025710230289,12.693883895874023,59.04908752441406,14.32663345336914,0.0007896275997614229,210.68915922745416,4.3253383242219705e-05,0.0072566788657095985
62,10.56768894886625,11.74571418762207,59.00956726074219,14.122085571289062,0.0007832312720368048,206.0551151883775,1.3561651140953654e-05,0.00633798708356377
63,9.595593728880951,11.952606201171875,58.656436920166016,14.049006462097168,0.0007767662949090753,197.09032407014266,2.7738007025670885e-05,0.0057623369646245155
64,9.469970426697662,9.631654739379883,58.38409423828125,13.11190414428711,0.0007702342635146033,205.57016079667684,2.0893108131136984e-05,0.00503876853896224
65,8.752219013545824,10.98836898803711,58.81523132324219,14.048576354980469,0.0007636367895343947,200.0644004932348,2.8989491283235708e-05,0.005348623797729396
66,8.353420091711957,10.519288063049316,58.34934616088867,15.407245635986328,0.0007569755007964338,199.5178799836532,3.318991245955346e-05,0.004872877397102075
67,7.605087121327718,10.926027297973633,58.71119689941406,14.442163467407227,0.0007502520408740418,202.18391617484716,1.509941097042989e-05,0.0041215427294103565
68,7.201284629711206,9.249835968017578,59.37331008911133,14.31030559539795,0.000743468068680349,196.77083244876584,1.1121231972646815e-05,0.003358249954096433
69,6.72397962514905,9.175525665283203,59.07750701904297,14.214154243469238,0.0007366252580589839,196.43598141877547,7.271294440336362e-06,0.00296381841737615
70,6.224117783532626,8.68496322631836,58.850589752197266,14.8738374710083,0.0007297252973710757,196.0202915357507,1.6278731325398795e-05,0.0029559089613241563
