Dataset,RMSE,MAE,R²,Tier,Params,Epochs,Time(s)
Cylinder_Wake,0.0202,0.0162,0.3480,small,"503,785",48,269
Building_Energy,0.6137,0.4532,0.2397,small,"503,913",31,193
