epoch,lr,train_loss,val_loss,val_rmse,pred_loss,koop_loss,spec_loss,multi_loss
0,0.0002,-0.007642505683755275,-0.03154919669032097,21.842090412974358,0.01345625159283765,1.206759830172971,0.0,1.0329421218350636
1,0.0004,-0.08032063483227071,-0.11708961427211761,19.69282701611519,0.0038227905090496266,1.2115035477302056,0.0,1.0367407249889786
2,0.0006000000000000001,-0.18692264550452609,-0.24179430305957794,20.623458549380302,0.0018283459265790076,1.2051345787459997,0.0,1.0356045421078908
3,0.0008,-0.33383633775247945,-0.4098814129829407,20.099202170968056,0.0011651984289482826,1.2100101563570311,0.0,1.0349702003190844
4,0.001,-0.5218712357308367,-0.6180825233459473,20.1222226023674,0.0010293450942698518,1.2037103930823236,0.0,1.0320998070051344
5,0.001,-0.730784881458008,-0.8270273208618164,20.53297497332096,0.0009407600619923993,1.2037116623610902,0.0,1.0293834218018347
6,0.0009997535269026829,-0.9392983261629831,-1.0356634855270386,20.678246393799782,0.0011475880734166867,1.1987319833083119,0.0,1.0238987301751006
7,0.0009990143508499217,-1.1483927604963453,-1.2432749271392822,21.487312391400337,0.0006147405909870168,1.1945568271678129,0.0,1.0214273655157295
8,0.0009977832013192385,-1.3568308593557894,-1.4520025253295898,21.056771278381348,0.00048400247676830683,1.1952483122297328,0.0,1.0191480341575128
9,0.0009960612933065818,-1.5648930827490717,-1.659409523010254,21.515632048249245,0.00039134941042045786,1.190481602716789,0.0,1.017769403594861
10,0.0009938503261272714,-1.7723993749069653,-1.866668462753296,21.260440349578857,0.0004170485490576277,1.190064817023792,0.0,1.0148736024074416
11,0.00099115248173898,-1.97953720487279,-2.072808027267456,21.83915674686432,0.00028726626315284787,1.185892594804009,0.0,1.012882486521769
12,0.0009879704225884043,-2.1859344612780234,-2.2796170711517334,21.009771153330803,0.0002736599427872344,1.1844929208000787,0.0,1.0113637850438948
13,0.0009843072889837512,-2.391613443978399,-2.4843788146972656,21.89905010163784,0.00022753062187953643,1.1824341120479775,0.0,1.0092813385476311
14,0.000980166695995633,-2.596444244865033,-2.6887927055358887,21.714160218834877,0.00019406807661666233,1.1802400479213797,0.0,1.0095758009299958
15,0.0009755527298894294,-2.800272535077102,-2.891523599624634,22.339139133691788,0.0002435383529497793,1.183639998058621,0.0,1.0080840587615967
16,0.0009704699440926358,-3.0031072784670823,-3.094716787338257,21.226605400443077,0.0002679371197223027,1.181214277692836,0.0,1.0067480305115954
17,0.0009649233547011816,-3.20488702135978,-3.2953596115112305,21.541398018598557,0.00024153694811757828,1.1827762289870558,0.0,1.004908468225877
18,0.0009589184355291487,-3.4053551481782103,-3.495054006576538,22.051114588975906,0.00033370484958114707,1.1757835587151617,0.0,1.001565365053767
19,0.0009524611127067769,-3.604712400505011,-3.694186210632324,21.27010188996792,0.0002151583222983901,1.172993900964586,0.0,1.0002932544234846
20,0.0009455577588320898,-3.8025758952545603,-3.8911876678466797,21.27680554986,0.00017887075316904636,1.1721786097656908,0.0,0.9983583298518504
21,0.0009382151866819099,-3.9988796676663187,-4.086132526397705,21.982207894325256,0.00022728628313115282,1.1706272578067918,0.0,0.9971376280132815
22,0.00093044064248847,-4.193648616187007,-4.279754161834717,22.838419303297997,0.00023301611016898101,1.1710550596388123,0.0,0.9961877658212785
23,0.0009222417987882566,-4.386629015421696,-4.471807479858398,22.7480661123991,0.0003584316041171484,1.1683857432372278,0.0,0.9935569304356472
24,0.0009136267468501438,-4.578115398077656,-4.66339111328125,21.77998423576355,0.00019274957201874098,1.1662188802691673,0.0,0.9927342585522494
25,0.0009046039886902864,-4.767556921183634,-4.850966453552246,22.757668048143387,0.00020407042699562814,1.1614135821088611,0.0,0.9902259728891386
26,0.0008951824286816573,-4.955122398815567,-5.0386176109313965,21.759947761893272,0.0001775736231361047,1.156164478055007,0.0,0.9876564505288927
27,0.0008853713647665069,-5.14074687477496,-5.222464084625244,22.121354937553406,0.00012871425866028762,1.1519058711237187,0.0,0.9863114850126582
28,0.0008751804792804147,-5.32426789167116,-5.404727935791016,22.391295060515404,0.00012083941362479956,1.1504846451093824,0.0,0.9863146466316937
29,0.0008646198293969952,-5.505636318124456,-5.584810256958008,22.947482764720917,0.00010337876094728809,1.149378035565932,0.0,0.9856046987094468
30,0.0008536998372026805,-5.684741507331244,-5.762795925140381,22.697068750858307,0.00011249091358949168,1.1463359662954755,0.0,0.9842239918468667
31,0.0008424312794113801,-5.853248510429327,-5.934281349182129,26.498712599277496,0.0023956652204635913,0.1442341249730947,0.0,0.21505677793845
32,0.0008308252767291642,-5.991128664222552,-5.9865617752075195,24.486660957336426,0.0007737863353678032,0.008621160721526943,0.0,0.012832660217963749
33,0.0008188932828794706,-5.999121834048264,-5.984780311584473,26.835231110453606,0.0005712359457941753,0.0031818649296065887,0.0,0.002956782230645043
34,0.0008066470732996619,-5.99937503457927,-5.985776424407959,26.268916204571724,0.00043496762210982283,0.0016944123098707135,0.0,0.0011557430843822658
35,0.0007940987335200905,-5.999495242139418,-5.986631870269775,24.613037705421448,0.0003272111277098486,0.0014163326474556552,0.0,0.0007143410478832481
36,0.0007812606472371394,-5.999685915254003,-5.985749244689941,25.04641003906727,0.00019472199380661615,0.0007754854879697128,0.0,0.0004180617382994471
37,0.0007681454840920089,-5.999501718891611,-5.985913276672363,24.955956265330315,0.00020991984381894883,0.0018990269988580948,0.0,0.0005723042130929237
38,0.0007547661871673105,-5.9996944571570525,-5.9867963790893555,24.173328652977943,0.00018264988775234403,0.0006188052275516227,0.0,0.0003029737547634625
39,0.0007411359602138069,-5.999735334794298,-5.986565589904785,24.658305570483208,0.00016410714531486532,0.0004388505731970608,0.0,0.00023136819962398718
40,0.0007272682546199037,-5.999804006206046,-5.987038612365723,23.964297026395798,0.0001025581526152937,0.00037447655474659886,0.0,0.00018631316030066352
41,0.0007131767561367538,-5.9998183387646575,-5.987123966217041,23.880211636424065,9.76362757715807e-05,0.0003071063718039931,0.0,0.00015144594975373635
42,0.0006988753713720729,-5.999811347439993,-5.987636566162109,23.230288177728653,0.00010708067610649654,0.0002718732330911264,0.0,0.00013611370435054917
43,0.0006843782140659968,-5.999828359205946,-5.987229347229004,23.551806807518005,8.606355488495047e-05,0.00026725678716823056,0.0,0.00012767047720974674
44,0.0006696995911625233,-5.99985503464294,-5.987237930297852,23.615946993231773,7.691866942374002e-05,0.00019529007003381312,0.0,9.6331575903003e-05
45,0.0006548539886902864,-5.999876399692014,-5.987196922302246,23.810725659132004,6.011510409447013e-05,0.00016706125116019288,0.0,8.687409089682222e-05
46,0.0006398560574665951,-5.9998272099940895,-5.987021446228027,24.244660511612892,9.278357669140762e-05,0.0002042722348404358,0.0,9.566083607090496e-05
47,0.0006247205986388449,-5.999850465239381,-5.9863433837890625,24.70020018517971,7.378095703885435e-05,0.00018306860115869882,0.0,8.429339523121493e-05
48,0.0006094625490775732,-5.998600270250718,-5.985371112823486,24.714715778827667,0.0012130888670909246,0.00044005903244318385,0.0,0.00018219872449106778
49,0.0005940969666355697,-5.999635332779919,-5.985973358154297,26.35444700717926,0.00026036155272548243,0.00023356164958857322,0.0,9.586991408920224e-05
50,0.0005786390152875954,-5.999763663724172,-5.985644340515137,27.003610506653786,0.00015530147576761573,0.00016405699172027062,0.0,7.90261030959287e-05
51,0.0005631039501653701,-5.9998294123642735,-5.985753059387207,26.646947488188744,0.000105117948131913,0.00012697219853239174,0.0,6.003414039192688e-05
52,0.000547507102502598,-5.99985761436627,-5.985701560974121,26.736268773674965,8.064315829379149e-05,0.00011158987166604577,0.0,5.67913537308165e-05
53,0.0005318638645048922,-5.999885919282762,-5.985047340393066,27.22790092229843,5.806104593130127e-05,9.576082000343075e-05,0.0,5.046019979751344e-05
54,0.0005161896741595252,-5.999872955486929,-5.9849443435668945,27.35704369843006,6.956433508944657e-05,9.567590764130754e-05,0.0,4.8018602696527966e-05
55,0.0005005000000000001,-5.999895411429645,-5.984718322753906,27.462946251034737,5.015654808388547e-05,8.859279836765021e-05,0.0,4.209775727385866e-05
56,0.000484810325840475,-5.999886468160066,-5.985592365264893,26.87656693160534,5.7482707214528336e-05,9.012022572854306e-05,0.0,3.92659934758537e-05
57,0.00046913613549510807,-5.99990153141159,-5.985103130340576,26.9311610609293,4.753101300776906e-05,7.523805426061823e-05,0.0,3.7945690617156246e-05
58,0.0004534928974974022,-5.999919157234027,-5.985501289367676,26.49187669157982,3.6658245740948736e-05,6.334488700971463e-05,0.0,3.133325344933576e-05
