epoch,lr,train_loss,val_loss,val_rmse,pred_loss,koop_loss,spec_loss,multi_loss
0,0.0002,0.33399464970575177,-0.007508058100938797,22.568732500076294,0.018668370220890577,0.2718325422795342,0.0,0.3990245851011371
1,0.0004,-0.08408083182444676,-0.1447218954563141,17.64335297048092,0.011509208085698833,0.009144724896110647,0.0,0.007951036385401226
2,0.0006000000000000001,-0.21586599034799947,-0.2777719497680664,27.238739654421806,0.007860878207754317,0.0031940745794475614,0.0,0.0018524258663851045
3,0.0008,-0.38302664598115055,-0.46477070450782776,21.47127501666546,0.004303448075569308,0.001965309113846998,0.0,0.0010104635104339356
4,0.001,-0.5791113269414833,-0.6821897625923157,22.49276265501976,0.003571325224211185,0.006895170961640668,0.0,0.001924435070819697
5,0.001,-0.8047647879278059,-0.9088598489761353,18.657051026821136,0.0024225930339931475,0.0007448165485695701,0.0,0.000446849986395745
6,0.0009996422355307575,-1.0280375892309834,-1.1322450637817383,18.47001165151596,0.001885803191915905,0.0005588229729294804,0.0,0.0003459997576277824
7,0.0009985694546171863,-1.2478384225488566,-1.347062349319458,20.22228203713894,0.0017128602187852745,0.0003483312443382837,0.0,0.00020098755701039684
8,0.000996783194007611,-1.4651385605764047,-1.5635868310928345,20.525969564914703,0.0015025398779405857,0.00037497108001948717,0.0,0.0002277572084952769
9,0.0009942860125031483,-1.6809856188383034,-1.7789912223815918,19.70975287258625,0.0012250594571132293,0.00036120143220274165,0.0,0.00022348721012081148
10,0.0009910814872922493,-1.8951215126531586,-1.9881922006607056,22.0455564558506,0.0008605218911417861,0.0002863440290344678,0.0,0.00020148208369660063
11,0.00098717420882641,-2.106869915406481,-2.2026076316833496,22.22655899822712,0.000784253557095398,0.00040858519138356253,0.0,0.00018696917220740748
12,0.0009825697742443956,-2.316988593382801,-2.412623882293701,20.463015884160995,0.0007105832451513948,0.0003351123965631755,0.0,0.00017346654810922608
