Dataset,Run,RMSE,MAE,MonoViol,SlopeRMSE,Tier,Epochs
Jena_Climate,0,6.383278846740723,5.0124640464782715,0.46782213266731515,2.197591414771399,medium,64
SPY_Stock,0,46.50351333618164,33.283199310302734,7.1051223026018215,27.95868107041902,medium,55
Synthetic_ODE,0,50.456050872802734,41.89429473876953,5.939572656238121,16.808003301981916,small,121
